model,vars,S,rel(S),Act,choices,*-opt,random,,max_depth,depth,best,best relative,time (best),time (all),tree depth,tree nodes,|M|,F,Fs=,F?,H?,H+
qcomp-philosophers-4,4,3193,99.97,53,169229,0.9606,0.8803,,2,2,0.8987,0.2285,35.42,1200.12,1,1,1.00E+19,17747,468,17279,5684,0
qcomp-philosophers-4,4,3193,99.97,53,169229,0.9606,0.8803,,3,3,0.9074,0.3371,1112.22,1200.2,3,4,1.00E+43,9947,623,9324,2953,8
qcomp-philosophers-4,4,3193,99.97,53,169229,0.9606,0.8803,,4,4,0.9073,0.3365,1162.26,1200.38,4,8,1.00E+90,2657,248,2409,740,13
qcomp-philosophers-4,4,3193,99.97,53,169229,0.9606,0.8803,,5,5,0.908,0.345,515.48,1200.23,5,9,1.00E+185,1078,266,812,167,2
qcomp-philosophers-4,4,3193,99.97,53,169229,0.9606,0.8803,,6,6,0.9176,0.4646,563.7,1204.69,6,14,1e375,293,88,205,45,3
qcomp-philosophers-4,4,3193,99.97,53,169229,0.9606,0.8803,,7,7,0.9176,0.4646,494.49,1201.87,6,14,1e755,252,61,191,51,0
qcomp-philosophers-4,4,3193,99.97,53,169229,0.9606,0.8803,,8,8,0.9176,0.4646,439.47,1208.2,6,14,1e755,40,16,24,12,0
qcomp-pnueli-zuck-3,3,1950,99.95,63,122850,0.9606,0.649,,1,1,0.8442,0.6266,64.87,85.06,1,1,1.00E+07,2293,77,2216,724,7
qcomp-pnueli-zuck-3,3,1950,99.95,63,122850,0.9606,0.649,,2,2,0.9606,1,136.65,220.83,2,3,1.00E+18,3225,1133,2092,116,2
qcomp-pnueli-zuck-3,3,1950,99.95,63,122850,0.9606,0.649,,3,2,0.9606,1,137.05,221.54,2,3,1.00E+18,3225,1133,2092,116,2
qcomp-pnueli-zuck-3,3,1950,99.95,63,122850,0.9606,0.649,,4,2,0.9606,1,137.09,221.55,2,3,1.00E+18,3225,1133,2092,116,2
qcomp-pnueli-zuck-3,3,1950,99.95,63,122850,0.9606,0.649,,5,2,0.9606,1,137.33,205.34,2,3,1.00E+18,2826,975,1851,116,2
qcomp-pnueli-zuck-3,3,1950,99.95,63,122850,0.9606,0.649,,6,2,0.9606,1,138.05,185.97,2,3,1.00E+18,2343,783,1560,116,2
qcomp-pnueli-zuck-3,3,1950,99.95,63,122850,0.9606,0.649,,7,2,0.9606,1,137.45,171.27,2,3,1.00E+18,1992,646,1346,116,2
qcomp-pnueli-zuck-3,3,1950,99.95,63,122850,0.9606,0.649,,8,2,0.9606,1,131.78,154.41,2,3,1.00E+18,1721,539,1182,116,2
qcomp-rabin-4,19,10241,99.99,17,174097,0.9606,0.9225,,1,1,0.9411,0.4877,10.95,129.12,1,1,1.00E+08,2340,89,2251,719,3
qcomp-rabin-4,19,10241,99.99,17,174097,0.9606,0.9225,,2,2,0.9606,1,529.63,529.94,2,2,1.00E+24,1923,346,1577,350,5
qcomp-rabin-4,19,10241,99.99,17,174097,0.9606,0.9225,,3,3,0.945,0.5914,355.52,1200.42,3,5,1.00E+54,2495,497,1998,408,0
qcomp-rabin-4,19,10241,99.99,17,174097,0.9606,0.9225,,4,4,0.9427,0.5294,477.47,1201.09,4,7,1.00E+115,1119,402,717,9,1
qcomp-rabin-4,19,10241,99.99,17,174097,0.9606,0.9225,,5,5,0.9456,0.6064,623.65,1200.49,4,9,1.00E+236,211,68,143,15,1
qcomp-rabin-4,19,10241,99.99,17,174097,0.9606,0.9225,,6,6,0.9469,0.6402,733.29,1200.45,5,14,1e480,218,16,202,70,1
qcomp-rabin-4,19,10241,99.99,17,174097,0.9606,0.9225,,7,7,0.9606,1,894.04,894.78,7,13,1e966,2,0,2,0,0
qcomp-rabin-4,19,10241,99.99,17,174097,0.9606,0.9225,,8,6,0.9606,1,538.91,539.35,5,14,1e480,2,0,2,0,0
qcomp-resource-gathering-5,7,3292,99.97,5,16460,-47.7105,-99.877,,1,1,-95.1392,0.0908,0.63,3.21,1,1,70000,286,33,253,72,3
qcomp-resource-gathering-5,7,3292,99.97,5,16460,-47.7105,-99.877,,2,2,-53.9064,0.8812,48.73,89.66,2,3,1.00E+13,8881,1739,7142,1583,4
qcomp-resource-gathering-5,7,3292,99.97,5,16460,-47.7105,-99.877,,3,3,-47.7105,1,92.38,92.83,3,5,1.00E+29,36,11,25,1,0
qcomp-resource-gathering-5,7,3292,99.97,5,16460,-47.7105,-99.877,,4,3,-47.7105,1,95,95.48,3,5,1.00E+29,36,11,25,1,0
qcomp-resource-gathering-5,7,3292,99.97,5,16460,-47.7105,-99.877,,5,3,-47.7105,1,98.65,99.15,3,5,1.00E+29,36,11,25,1,0
qcomp-resource-gathering-5,7,3292,99.97,5,16460,-47.7105,-99.877,,6,3,-47.7105,1,91.23,91.69,3,5,1.00E+29,36,11,25,1,0
qcomp-resource-gathering-5,7,3292,99.97,5,16460,-47.7105,-99.877,,7,3,-47.7105,1,90.19,90.63,3,5,1.00E+29,36,11,25,1,0
qcomp-resource-gathering-5,7,3292,99.97,5,16460,-47.7105,-99.877,,8,3,-47.7105,1,79.56,80.01,3,5,1.00E+29,36,11,25,1,0
qcomp-wlan-1-2,11,3127,99.90,34,106318,0.1083,0.0273,,1,1,0.0453,0.2228,6.65,110.15,1,1,1.00E+11,2884,119,2765,905,6
qcomp-wlan-1-2,11,3127,99.90,34,106318,0.1083,0.0273,,2,2,0.0612,0.4188,203.36,1200.09,2,3,1.00E+31,20787,1233,19554,6023,11
